,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
236,Authentic New York City Living,Bedford-Stuyvesant,40.68595,-73.92923,Private room,99,3,54,337,1
237,"Massive Duplex, 2BR & 2BTH East Village 9+ Guests",East Village,40.72761,-73.98951,Entire home/apt,349,2,472,229,0
238,Gorgeous Upper West Side Apartment,Upper West Side,40.79907,-73.96517,Private room,85,30,3,0,1
239,"Luxe, Spacious 2BR 2BA Nr Trains",Gowanus,40.66895,-73.99136,Entire home/apt,260,30,3,339,0
240,Forest Hills 1 bedroom / 20 mins to midtown.,Forest Hills,40.7106,-73.85246,Entire home/apt,120,5,54,122,0
241,Midtown cozy convenient,Murray Hill,40.74564,-73.97782,Private room,68,30,142,154,1
242,Prime Williamsburg Apartment,Williamsburg,40.71771,-73.95849,Entire home/apt,250,5,27,0,0
243,"Private, spacious room in Brooklyn",East Flatbush,40.65288,-73.95018,Private room,55,30,292,155,1
244,Garden apartment close to Manhattan,Fort Greene,40.68646,-73.97548,Entire home/apt,170,3,115,258,0
245,Boho Studio,Chelsea,40.74373,-73.99928,Entire home/apt,112,5,10,0,0
246,"Historical home w/ exceptional space, light & art",Park Slope,40.67494,-73.97792,Entire home/apt,275,5,29,0,0
247,"Spacious,Sunny, private one bedroom",Crown Heights,40.67478,-73.95165,Entire home/apt,73,30,80,28,0
248,Truly Amazing Oasis In The City,Williamsburg,40.71347,-73.96035,Entire home/apt,249,30,174,156,0
249,East Village Charmer,East Village,40.72334,-73.97719,Entire home/apt,185,30,78,255,0
250,Affordable Furnished Apartment,Boerum Hill,40.6857,-73.98131,Entire home/apt,100,30,263,0,0
251,Architect's Brownstone,Park Slope,40.67487,-73.97637,Entire home/apt,900,1,37,359,0
252,"EAST VILLAGE STUDIO, sunny & quiet",East Village,40.72506,-73.97906,Entire home/apt,100,30,22,0,0
253,LUXURY OF THE HORIZON,Harlem,40.80687,-73.95333,Entire home/apt,399,6,24,342,0
