,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
186,"Cozy 1BD-parking, yard, laundry",Montclair,39.7383851527476,-104.91960969327924,Entire home/apt,75,29,252,32,0
187,Large Denver Home Centrally Located to Downtown and Airport,Stapleton,39.75357,-104.88433,Entire home/apt,396,4,38,42,0
188,The Garden Suite,Berkeley,39.78164,-105.038,Entire home/apt,91,30,29,305,0
189,Cozy Sante Fe Style Studio,Lincoln Park,39.72979,-104.99557,Entire home/apt,92,5,143,354,0
190,Downtown Apt - Amazing City View! Brooks Tower 6I,CBD,39.74634,-104.99678,Entire home/apt,58,30,7,181,0
191,Urban Studio Life! Brooks Tower 5F,CBD,39.74634,-104.99678,Entire home/apt,58,30,12,181,0
192,Furnished 1200sq ft Downtown Pad! Brooks Tower 4J,CBD,39.74634,-104.99678,Entire home/apt,98,30,3,181,0
193,"New 3 Bedroom, Prime Location, Top Floor Balcony",Jefferson Park,39.75182,-105.02219,Entire home/apt,395,29,69,98,0
194,Private Suite on Beautiful Wooded Street,South Park Hill,39.7483,-104.91471,Private room,65,2,152,173,1
195,★ Penthouse ★Balcony★ Chef's Kitch ★ Garage,North Capitol Hill,39.74326,-104.98088,Entire home/apt,120,3,427,152,0
196,Charming Bungalow near Wash Park,Speer,39.72234,-104.97757,Entire home/apt,250,5,86,121,0
197,Clean Comfortable near Downtown,Montclair,39.73681,-104.91913,Entire home/apt,125,29,1,0,0
198,Wash Park Guest House - Walkable - Fast WiFi!,Speer,39.71396,-104.97608,Entire home/apt,101,1,300,346,0
199,"Clean, Sloan’s Lake apartment 1bed/1bath, parking.",Sloan Lake,39.74934,-105.037,Entire home/apt,133,1,271,164,0
200,Highlands Mini Mansion,West Highland,39.76336,-105.02808,Entire home/apt,607,3,185,305,0
201,1880s Historic Garden Apartment 420 Friendly,Five Points,39.7507,-104.98245,Entire home/apt,108,3,280,69,0
202,Centrally Located and Easy Access,Harvey Park South,39.66293,-105.05011,Private room,29,29,124,88,1
203,610 sq ft Condo on South Broadway,Speer,39.71913,-104.982,Entire home/apt,130,29,72,365,0
204,"4br, 3bath house near Cherry Creek",Washington Virginia Vale,39.6992,-104.92515,Entire home/apt,228,29,140,365,0
205,Upstairs of Charming cottage style (1 of 2 bdrms),Cole,39.76558,-104.96109,Private room,65,4,89,356,1
206,"Cozy, Private, Spacious Bedroom and Bathroom",Sunnyside,39.77037,-105.0135,Private room,55,2,461,40,1
207,Rock House in Berkeley neighborhood of Denver,Regis,39.78471,-105.0361,Entire home/apt,213,3,82,299,0
208,Downtown Mountain & City Views 2b/2ba,CBD,39.74723,-104.99704,Entire home/apt,96,30,122,73,0
209,Room in Cozy Duplex in Cap Hill!,Capitol Hill,39.73487,-104.98141,Private room,82,1,216,286,1
210,Duplex in Cap Hill! Walk to Convention Center!,Capitol Hill,39.73532,-104.9832,Entire home/apt,317,2,117,353,0
211,Comfortable private  room @ bath,Washington Virginia Vale,39.70453,-104.92604,Private room,64,1,94,75,1
212,Modern Condo in Denver's Uptown Neighborhood,North Capitol Hill,39.74572,-104.98319,Entire home/apt,279,30,2,5,0
213,Private bd/bth in lovely Victorian (longterm only),Berkeley,39.77063,-105.03731,Private room,38,30,36,347,1
214,Oasis in the middle of the City - Spacious Bedroom,University Park,39.67565,-104.94207,Private room,45,29,14,11,1
215,Clark Family -  Retro bdrm 15 mins frm the Airport,Gateway - Green Valley Ranch,39.77986,-104.75385,Private room,39,29,145,332,1
216,Modern Townhouse in Downtown with private balcony,Five Points,39.75021,-104.97909,Entire home/apt,276,2,170,135,0
217,"Hip S. Broadway 2 BR Historic Denver, Private Yard",Baker,39.71819,-104.99031,Entire home/apt,204,3,240,362,0
218,Spacious Condo in Downtown Denver,Five Points,39.75255,-104.98133,Entire home/apt,299,2,63,88,0
219,Modern StandAlone 2 Story Loft/RiNo,Five Points,39.75841,-104.98734,Entire home/apt,350,30,230,364,0
220,"Charming 4br, 2 ba Bungalow Tennyson Neighborhood",Regis,39.78606,-105.04065,Entire home/apt,175,29,20,10,0
221,"Norway House, an Exquisitely Renovated 1907 Home",City Park,39.74392,-104.94826,Entire home/apt,312,3,175,121,0
222,Newly Renovated Condo  North Wash Park,Speer,39.71691,-104.97833,Entire home/apt,80,90,143,235,0
223,Luxurious Heart of Denver 3.5B/2.5B entire home,Stapleton,39.75684,-104.85525,Entire home/apt,199,29,127,360,0
224,Cozy Cheeseman Park Bungalow,Cheesman Park,39.72915,-104.97076,Private room,47,5,183,307,1
225,Dorm room in Highlands bed X,West Highland,39.76662,-105.05283,Shared room,17,1,182,353,2
226,Elegant * ❤️ of  the City * Victorian Home!,Congress Park,39.73951,-104.95903,Entire home/apt,375,30,76,272,0
227,Cool and Fun * Open Layout * Beautiful Structure!,Rosedale,39.67107,-104.9856,Entire home/apt,165,30,71,275,0
228,Unique and Funky Tiny House on Beautiful Parks,Rosedale,39.67107,-104.9856,Entire home/apt,145,29,139,23,0
229,Charming Guest Suite In East Denver 3 Comfy Beds,Washington Virginia Vale,39.70989,-104.91529,Entire home/apt,89,2,331,78,0
230,Private Suite in Minimalist Architecture Home,West Highland,39.76364,-105.04251,Private room,120,2,165,361,1
231,"DU/Washington Park Bungalow w/ Loft, South Denver",University Park,39.67927,-104.9498,Entire home/apt,113,1,174,265,0
232,"Denver Oasis: Clean, Comfortable, Friendly!",Montclair,39.73914,-104.92118,Private room,69,4,130,313,1
233,"Modern apartment, cool neighborhood",Congress Park,39.73125,-104.94141,Entire home/apt,100,500,3,365,0
234,HUGE 1 BR Flat in Denver Victorian,Speer,39.71802,-104.98414,Entire home/apt,85,29,22,85,0
235,"""Park Hill"" Home away from home, 30 day minimum",North Park Hill,39.75475,-104.91763,Entire home/apt,150,30,48,90,0
236,Snazzola-Hidden Gem City Park-Central  -DOG ok,City Park West,39.74748,-104.96111,Entire home/apt,60,30,26,345,0
237,Carriage House in Uptown,North Capitol Hill,39.7442,-104.97685,Entire home/apt,171,60,255,0,0
238,"Spacious, bright and beautiful home in RiNo",Five Points,39.76267,-104.97346,Entire home/apt,255,1,443,108,0
239,Cozy Basement Suite near RiNo,Cole,39.76839,-104.96089,Private room,54,3,207,302,1
240,Carriage House Retreat - Self Contained House,City Park West,39.74825,-104.97007,Entire home/apt,131,2,504,250,0
241,Beautiful LoHi Townhouse - BFN-5172,Highland,39.76608,-105.01059,Entire home/apt,629,2,31,179,0
242,Luxurious Victorian in the heart of West Highlands,West Highland,39.76502,-105.03364,Entire home/apt,500,3,287,20,0
243,Newly Renovated Apartment Near DU,Wellshire,39.65685,-104.95886,Entire home/apt,75,1,418,326,0
244,Quiet Safe Neighborhood Home w/ Lg Fenced Yard,Goldsmith,39.6687,-104.91498,Entire home/apt,447,2,63,365,0
245,Charming 1890s Duplex in the Art District,Lincoln Park,39.72622,-104.99535,Entire home/apt,143,2,12,233,0
246,Quiet Carriage House by 39th Ave Greenway to RiNo,Clayton,39.76552,-104.95646,Entire home/apt,161,2,35,67,0
