,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
192,Sunny 4-Bedroom Family Home Central SF Location,Bernal Heights,37.73466,-122.41694,Entire home/apt,449,4,20,6,0
193,Potrero Paradise with Stunning Views and Hot Tub,Potrero Hill,37.7608,-122.40379,Entire home/apt,534,40,35,6,0
194,Amazing 3BR/3BA Radiant Heated Apt,Ocean View,37.72334,-122.45557,Entire home/apt,295,30,25,179,0
195,Castro Garden Loft,Castro/Upper Market,37.75714,-122.43419,Entire home/apt,105,30,5,323,0
196,★ Penthouse in excellent location with views!,Nob Hill,37.79629,-122.41006,Private room,400,30,92,365,1
197,"Garden Suite by Golden Gate Park, Private Bathrm",Outer Richmond,37.77502,-122.48035,Entire home/apt,99,2,877,61,0
198,Charming Noe Valley Garden Oasis,Noe Valley,37.74402,-122.43729,Entire home/apt,99,30,145,87,0
199,"Great Family Home, Quiet Street, Close to GG Park",Inner Richmond,37.77689,-122.45594,Entire home/apt,425,3,28,0,0
200,Stunning view/Mission District/20 minutes downtown,Bernal Heights,37.744736,-122.418465,Private room,80,4,202,25,1
201,Beauty in the Heart of North Beach,North Beach,37.80082,-122.40594,Entire home/apt,185,3,44,48,0
202,Comfortable Room in Glen Park (SF),Outer Mission,37.73218,-122.43726,Private room,68,2,381,10,1
203,Upscale View Cottage in San Francisco 3br/ 2.5ba.,Haight Ashbury,37.76829,-122.43968,Entire home/apt,620,30,14,0,0
204,Best San Francisco Airbnb! Walk Everywhere!,Inner Sunset,37.76459,-122.45483,Entire home/apt,216,30,44,178,0
205,Enormous beautiful room in a great area,Haight Ashbury,37.77612,-122.44247,Private room,93,1,69,0,1
206,"Luxurious, high end, modern, remodeled Victorian.",Marina,37.80144,-122.43865,Entire home/apt,1049,4,11,257,0
207,"Cozy Suite by Golden Gate Park, Private Bathrm",Outer Richmond,37.77547,-122.48116,Entire home/apt,66,2,790,141,0
208,Beautiful Nob Hill Apartment with Perfect Location,Russian Hill,37.79769,-122.41155,Entire home/apt,325,7,25,103,0
209,Quiet bedroom with private bathroom,Mission,37.75594,-122.41105,Private room,80,7,56,343,1
210,Lower Haight Victorian room,Western Addition,37.7699,-122.42917,Private room,90,7,369,336,1
211,Prime Location - Single Airy Room,Pacific Heights,37.79361,-122.42469,Private room,48,30,100,307,1
212,Eclectic Queen Anne Victorian in NOPA,Western Addition,37.7769,-122.44312,Entire home/apt,420,30,1,136,0
213,(800Mbps) Cute Bright 2BR Downtown walk to BART,Downtown/Civic Center,37.78239,-122.41833,Entire home/apt,100,30,22,38,0
214,Newly Renovated - San Francisco in Style,Haight Ashbury,37.76864,-122.45267,Entire home/apt,975,3,59,348,0
215,Walker's Paradise - Heart of SF,Chinatown,37.79644,-122.40879,Entire home/apt,450,7,74,358,0
216,Beautiful and Spacious Loft - SOMA,South of Market,37.77459,-122.40768,Entire home/apt,199,30,111,310,0
217,Sunny Modern Luxury Condo!,South of Market,37.78097,-122.40628,Entire home/apt,123,30,47,43,0
218,Contemporary Studio- Prime Location,Financial District,37.78724,-122.39825,Entire home/apt,97,30,56,51,0
219,"Cozy Stylish Apt in SF Hills. Trails, Bay Views",Glen Park,37.73932,-122.43337,Entire home/apt,95,30,16,199,0
220,Room with Private Sitting Area,Outer Mission,37.73175,-122.44106,Private room,100,1,82,77,1
221,SF Penthouse right next to the Moscone Center,South of Market,37.78297,-122.39963,Private room,280,2,21,90,1
222,San Francisco Marina Garden Studio,Marina,37.80261,-122.43383,Entire home/apt,110,30,57,50,0
223,Gorgeous 1BR - heart of Noe Valley,Bernal Heights,37.74584,-122.42412,Entire home/apt,99,30,6,137,0
