,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
189,Comfy Beacon Hill Studio Great for Work Travel; #13,Beacon Hill,42.36017,-71.06346,Entire home/apt,120,1,119,244,0
190,South End Studio Perfect for Work Travel #36,South End,42.34441,-71.07633,Entire home/apt,84,1,84,352,0
191,"Stylish Downtown Studio in the SouthEnd, #8",South End,42.34447,-71.07644,Entire home/apt,140,1,131,344,0
192,"Stylish Studio in Back Bay, on Newbury St; #1",Back Bay,42.34982,-71.08264,Entire home/apt,140,1,141,346,0
193,Charming & Historic 2 bed/2 bath w/ private patio,Charlestown,42.37866,-71.06452,Entire home/apt,363,4,55,145,0
194,5 bedrooms 3 baths monthly Rental now,Allston,42.35984,-71.12873,Entire home/apt,450,31,33,357,0
195,Brownstone Loft Bedroom Rooftop Views by LMA & T,Roxbury,42.32965,-71.0932,Private room,69,2,290,25,1
196,Historic Beauty! Minutes to Center!,Roxbury,42.32397,-71.09085,Entire home/apt,184,3,88,143,0
197,The Copley Suite - Radiant & Airy in the South End,South End,42.34301,-71.07304,Entire home/apt,125,120,20,0,0
198,Brownstone Cozy Private Studio by the T & LMA,Roxbury,42.32967,-71.09328,Entire home/apt,96,2,523,74,0
199,Chic furnished 2 bds- best Boston location N. End Boston,North End,42.36424,-71.05259,Entire home/apt,133,31,157,336,0
200,Unique Fenway/Back Bay/Copley 1 Bed,Fenway,42.345,-71.09514,Entire home/apt,148,3,174,148,0
201,Amazing price and location w/ parking  N End (m1s),North End,42.36329,-71.05233,Entire home/apt,153,2,150,347,0
202,Lovely private 4 bedroom apt,Jamaica Plain,42.3043,-71.11465,Entire home/apt,211,2,232,1,0
203,Parking EZ 2 Downtown/Longwood Larg,Roxbury,42.31676,-71.08,Private room,36,150,7,364,1
204,Parking Renovated Close to Downtown,Roxbury,42.31676,-71.08,Private room,36,150,1,365,1
205,2 Bd/Bth Apt in Prime Location Gorgeous Water View,West End,42.36452,-71.06928,Entire home/apt,250,90,18,290,0
206,Boston RooftopTerrace/ 2 Bed / By Logan airport,East Boston,42.378693,-71.035088,Entire home/apt,234,1,234,333,0
207,South End Studio Perfect for Work Travel #46,South End,42.34441,-71.07633,Entire home/apt,99,1,118,364,0
208,Parking Easy to downtown/Longwood,Roxbury,42.31676,-71.08,Private room,35,150,4,365,1
209,GreenT&bus stops in front of door,Mission Hill,42.33245,-71.10642,Private room,100,91,0,0,1
210,Charming studio,Brighton,42.34341,-71.15451,Entire home/apt,49,91,14,241,0
211,Beacon Hill Duplex  2 bedrooms Queen beds sleeps 4,Beacon Hill,42.35998,-71.06488,Entire home/apt,305,29,69,305,0
212,Historic House modernized,Brighton,42.34765,-71.15509,Entire home/apt,350,3,132,259,0
213,Charming Victorian Furnished Home,Hyde Park,42.2563,-71.12762,Entire home/apt,145,91,105,220,0
214,Cozy Attic Bedroom in Allston,Allston,42.35914,-71.13348,Private room,41,91,3,0,1
215,Cosy Celtic Retreat,Brighton,42.35111,-71.16529,Private room,65,91,25,364,1
216,One Sweet Place,Mattapan,42.27667,-71.08169,Private room,27,29,20,236,1
217,Romantic Beacon Hill Studio,Beacon Hill,42.35815,-71.07102,Entire home/apt,110,91,5,0,0
218,Ensuite Private Room in Boston,South Boston,42.33717,-71.05,Private room,103,2,241,227,1
219,"ALLSTON LOADED STUDIO: Steps to BU, BC & hospitals",Allston,42.34838,-71.13163,Entire home/apt,79,240,340,163,0
220,Modern Beacon Hill 2 Bedroom,West End,42.36122,-71.06629,Entire home/apt,158,2,110,13,0
221,Sunny Duplex Condo + Private Parking,South Boston,42.33257,-71.02959,Entire home/apt,325,3,148,328,0
222,Beautiful & Spacious 4 BDR / 3 BA w/ FREE Parking,Allston,42.35779,-71.13347,Entire home/apt,486,4,226,326,0
223,3rd floor room in Victorian House,Dorchester,42.31124,-71.06551,Private room,45,2,34,351,1
224,Quiet room - Great location!,Jamaica Plain,42.31327,-71.10811,Private room,60,30,25,288,1
225,Beacon Hill Brownstone,Beacon Hill,42.35921,-71.06759,Entire home/apt,147,91,24,0,0
226,Stunning SouthEnd/BackBay Penthouse,Roxbury,42.34041,-71.08384,Entire home/apt,464,29,100,299,0
227,2 Bdrm Apt w/ tower in JP Victorian,Jamaica Plain,42.30542,-71.10409,Entire home/apt,166,2,272,248,0
228,Newly-Renovated Condo,Mission Hill,42.32713,-71.10663,Private room,75,1000,0,0,1
229,Family friendly Boston home,Roxbury,42.32338,-71.09334,Entire home/apt,400,29,9,319,0
230,"Renovated, Quiet, Free Parking",Roxbury,42.31681,-71.08001,Private room,42,150,6,365,1
231,**Studio by Airport and T Station**,East Boston,42.38704,-71.00581,Entire home/apt,68,60,85,90,0
232,Cool room with private bathroom.,Roslindale,42.27863,-71.13637,Private room,50,28,0,230,1
233,Beautiful 3 bedroom Dorchester MA,Dorchester,42.31163,-71.06351,Entire home/apt,104,29,261,250,0
234,Quiet  Beauty in Boston,Roslindale,42.28629,-71.13839,Entire home/apt,155,14,26,363,0
235,City living near the beach!,East Boston,42.38455,-71.00217,Entire home/apt,195,91,27,0,0
236,Parking Renovated Close to Downtown,Roxbury,42.31676,-71.08,Private room,36,150,2,365,1
237,*Penthouse Duplex* Close to Center,Mission Hill,42.33211,-71.09842,Entire home/apt,191,3,116,153,0
238,"Fresh! City Loft Apartment,  Minutes to Center!",Roxbury,42.3285,-71.09608,Entire home/apt,179,3,123,133,0
239,Private Entrance * King Beds! * Kid Friendly,Back Bay,42.34628,-71.08064,Entire home/apt,350,29,203,20,0
240,"Beacon Hill House, Huge Roof Deck & Encore Casino",Beacon Hill,42.35668,-71.07185,Entire home/apt,310,91,124,80,0
241,Central Boston Beacon Hill 2brm,Beacon Hill,42.35984,-71.06914,Entire home/apt,221,28,349,344,0
242,"Heart of South End, Convenient, Comfy Studio #42",South End,42.34441,-71.07633,Entire home/apt,106,1,138,310,0
243,"Charming South End Brownstone, 2bedroom with a patio",South End,42.34455,-71.07628,Entire home/apt,156,29,141,94,0
244,Sunny Two-Bedroom in Boston,Jamaica Plain,42.32448,-71.10664,Entire home/apt,95,91,0,0,0
245,"Stylish Downtown Studio in the SouthEnd, C.Ave# 4",South End,42.34447,-71.07644,Entire home/apt,140,1,124,356,0
246,"Stylish Downtown Studio in the SouthEnd, C.Ave# 3",South End,42.34447,-71.07644,Entire home/apt,109,1,225,260,0
247,Large room located in Allston,Allston,42.35211,-71.13178,Private room,70,91,0,0,1
248,City Sanctuary with ocean view and terrace garden,South Boston,42.33286,-71.04506,Entire home/apt,170,5,38,264,0
249,"""La Gemma"" - a gem in the North End",North End,42.36726,-71.05424,Entire home/apt,300,3,235,97,0
250,Close to Airport and Subway,East Boston,42.37939,-71.02961,Entire home/apt,125,91,31,90,0
251,Sunny 1BR for Summer,Fenway,42.34306,-71.0872,Entire home/apt,62,91,0,0,0
